Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,symptoms
Fungal infection, itching, skin_rash, nodal_skin_eruptions, dischromic _patches,"itching, skin_rash, nodal_skin_eruptions, dischromic _patches"
Fungal infection, itching, skin_rash, nodal_skin_eruptions, itching,"itching, skin_rash, nodal_skin_eruptions"
Fungal infection, skin_rash, dischromic _patches, itching, skin_rash,"skin_rash, dischromic _patches, itching"
Fungal infection, itching, nodal_skin_eruptions, skin_rash, dischromic _patches,"itching, nodal_skin_eruptions, skin_rash"
Allergy, continuous_sneezing, shivering, chills, watering_from_eyes,"continuous_sneezing, shivering, chills, watering_from_eyes"
Allergy, continuous_sneezing, watering_from_eyes, chills, sneezing,"continuous_sneezing, watering_from_eyes, chills"
Allergy, shivering, chills, watering_from_eyes, sneezing,"shivering, chills, watering_from_eyes"
Allergy, continuous_sneezing, chills, watering_from_eyes, shivering,"continuous_sneezing, chills, watering_from_eyes"
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting,"stomach_pain, acidity, ulcers_on_tongue, vomiting"
GERD, stomach_pain, acidity, vomiting, heartburn,"stomach_pain, acidity, vomiting"
GERD, acidity, ulcers_on_tongue, vomiting, stomach_pain,"acidity, ulcers_on_tongue, vomiting"
GERD, stomach_pain, chest_burn, acidity, vomiting,"stomach_pain, chest_burn, acidity"
Chronic cholestasis, itching, vomiting, yellowish_skin, nausea,"itching, vomiting, yellowish_skin, nausea"
Chronic cholestasis, itching, yellowish_skin, nausea, loss_of_appetite,"itching, yellowish_skin, nausea"
Chronic cholestasis, vomiting, yellowish_skin, itching, abdominal_pain,"vomiting, yellowish_skin, itching"
Drug Reaction, itching, skin_rash, stomach_pain, burning_micturition,"itching, skin_rash, stomach_pain, burning_micturition"
Drug Reaction, itching, skin_rash, burning_micturition, spot_rash,"itching, skin_rash, burning_micturition"
Drug Reaction, skin_rash, stomach_pain, itching, fever,"skin_rash, stomach_pain, itching"
Peptic ulcer disease, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases,"vomiting, loss_of_appetite, abdominal_pain, passage_of_gases"
Peptic ulcer disease, abdominal_pain, passage_of_gases, internal_itching, indigestion,"abdominal_pain, passage_of_gases, indigestion"
Peptic ulcer disease, loss_of_appetite, abdominal_pain, vomiting, acidity,"loss_of_appetite, abdominal_pain, vomiting"
AIDS, muscle_wasting, patches_in_throat, high_fever, fatigue,"muscle_wasting, patches_in_throat, high_fever, fatigue"
AIDS, high_fever, fatigue, muscle_wasting, night_sweats,"high_fever, fatigue, muscle_wasting"
AIDS, patches_in_throat, high_fever, fatigue, muscle_wasting,"patches_in_throat, high_fever, fatigue"
Diabetes, fatigue, weight_loss, restlessness, lethargy,"fatigue, weight_loss, restlessness, lethargy"
Diabetes, fatigue, weight_loss, increased_thirst, frequent_urination,"fatigue, weight_loss, increased_thirst, frequent_urination"
Diabetes, weight_loss, restlessness, lethargy, increased_thirst,"weight_loss, restlessness, lethargy"
Diabetes, fatigue, restlessness, frequent_urination, weight_loss,"fatigue, restlessness, frequent_urination"
Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,"vomiting, sunken_eyes, dehydration, diarrhoea"
